"player_names","player_ids"
"Mohamed Salah",108226
"Trent Alexander-Arnold",318871
"João Cancelo",128967
"Kevin De Bruyne",73084
"Bernardo Silva",136741
"Harry Kane",83532
"Rodri",303139
"Sadio Mané",109915
"Son Heung-Min",91909
"Joel Matip",74341
"Reece James",361330
"Andrew Robertson",115726
"Conor Gallagher",375621
"Phil Foden",331254
"Ivan Toney",134240
"Ilkay Gündogan",77464
"Jarrod Bowen",322596
"Thiago Silva",28550
"Virgil van Dijk",95408
"John McGinn",318449
"Diogo Jota",235755
"Allan Saint-Maximin",135891
"Jack Grealish",113069
"Fabinho",115916
"Bruno Fernandes",123761
"Mason Mount",343346
"Declan Rice",332325
"Pierre-Emile Højbjerg",101859
"Hakim Ziyech",115868
"Riyad Mahrez",104749
"James Ward-Prowse",105172
"Mateo Kovacic",93894
"Paul Pogba",97752
"Raheem Sterling",97692
"Thiago",74939
"Bukayo Saka",367185
"Tomas Soucek",143595
"Rayan Aït-Nouri",355401
"Cristiano Ronaldo",5583
"Raphinha",300447
"Gabriel Jesus",279379
"Marcos Alonso",84008
"Thomas Partey",238940
"Trevoh Chalobah",353292
"James Tarkowski",131464
"Youri Tielemans",136345
"Dwight McNeil",357427
"Ethan Pinnock",342499
"Sergio Reguilón",362275
"Mason Greenwood",367782
"César Azpilicueta",25931
"Matthew Cash",322043
"N'Golo Kanté",114075
"Scott McTominay",336915
"Alexandre Lacazette",73078
"Takehiro Tomiyasu",377283
"Kyle Walker-Peters",313672
"Oriol Romeu",90780
"Rúben Neves",238244
"Wilfred Ndidi",327683
"Rúben Dias",313171
"Kai Havertz",326413
"Fred",114397
"Mohammed Salisu",362357
"Michail Antonio",69517
"Romain Saïss",236519
"Adama Traoré",140088
"Jorginho",106968
"Christian Nørgaard",101856
"Naby Keïta",243510
"Jordan Henderson",68659
"José Sá",122714
"Andreas Christensen",130331
"Lucas Moura",92508
"Ben Mee",94935
"Aymeric Laporte",122117
"Emmanuel Dennis",329811
"Valentino Livramento",415174
"Alisson",114147
"Martin Ødegaard",247454
"Yves Bissouma",303096
"Antonio Rüdiger",104010
"Emile Smith Rowe",363686
"Wilfried Zaha",85059
"Adam Webster",109922
"Saïd Benrahma",137021
"Aaron Wan-Bissaka",331924
"James Maddison",137015
"Pablo Fornals",297203
"Benjamin White",322036
"Charlie Taylor",107462
"James McArthur",20339
